epoch,lr,loss_train,loss_val,fbeta_0.20,fbeta_0.25,fbeta_0.30,fbeta_0.35,fbeta_0.40,fbeta_0.45,fbeta_0.50,fbeta_0.55,fbeta_0.60,fbeta_0.65,fbeta_0.70,fbeta_0.75,fbeta_0.80,fbeta_0.85,fbeta_0.90,fbeta_0.95,accuracy
1,4.000000000000002e-06,0.6995204595419077,0.6213984865891305,0.1099002361297607,0.1244838759303093,0.1502992510795593,0.1593777537345886,0.163042813539505,0.1663952022790908,0.1680801063776016,0.1503476202487945,0.059497732669115,0.0036001685075461,9.60798788582906e-05,0.0,0.0,0.0,0.0,0.0,0.7007402885099334
2,6.894754202276402e-06,0.6807757313434895,0.6768618924053091,0.1108908057212829,0.1348972618579864,0.154240071773529,0.1595426350831985,0.1615874618291854,0.1634504497051239,0.1662764847278595,0.1708303242921829,0.1756506860256195,0.1769102364778518,0.1718592792749405,0.1425694823265075,0.01997946575284,0.0,0.0,0.0,0.5226117221932309
3,1.522986673028906e-05,0.662998364521907,0.571653097083694,0.149985134601593,0.1594980210065841,0.1641836464405059,0.1704406887292862,0.1891069263219833,0.2134590446949005,0.2337776869535446,0.2408159226179123,0.203770563006401,0.1195319071412086,0.0317778177559375,0.0066696754656732,0.0,0.0,0.0,0.0,0.8425464710431302
4,2.8000000000000003e-05,0.6491278575016902,0.5477099050032465,0.1565845608711242,0.1608548760414123,0.1644611060619354,0.1785575747489929,0.2084334939718246,0.2287358343601226,0.2342492192983627,0.2069466114044189,0.1106544509530067,0.0122142480686306,0.0,0.0,0.0,0.0,0.0,0.0,0.875802195046405
5,4.366488747198734e-05,0.6280662802549509,0.525939976306338,0.1634339839220047,0.1786836087703704,0.1967543661594391,0.2199541628360748,0.237420916557312,0.2453386336565017,0.2529937922954559,0.2613039910793304,0.2614927589893341,0.239347442984581,0.1498095393180847,0.0377520248293876,0.0008329003467224,0.0,0.0,0.0,0.8819050566560467
6,6.0335112528012655e-05,0.620511271403386,0.5413214972144679,0.1688641309738159,0.1804317981004715,0.189046561717987,0.1956488043069839,0.2018410712480545,0.2087026536464691,0.2168473452329635,0.2250993698835373,0.2367714047431945,0.2515130043029785,0.2663894295692444,0.2725792825222015,0.2361984550952911,0.1176371648907661,0.013834117911756,0.0,0.7905002953870182
7,7.599999999999999e-05,0.5999207395773668,0.5347253703757336,0.1858431100845337,0.203964814543724,0.2139650732278823,0.2196964174509048,0.2247973680496215,0.2296215593814849,0.2357715219259262,0.2422859668731689,0.2509055733680725,0.2623112797737121,0.2772305607795715,0.290370911359787,0.3013367354869842,0.2920304536819458,0.2434609085321426,0.1501687169075012,0.8337257132282738
8,8.877013326971095e-05,0.5768151310773996,0.5112632716956892,0.1778434514999389,0.1970100551843643,0.2157400846481323,0.2336628586053848,0.2489483654499054,0.2647826969623565,0.2820553481578827,0.2982678711414337,0.3144677579402923,0.3242224156856537,0.3221858441829681,0.3067110776901245,0.2782497107982635,0.2231034636497497,0.1554014682769775,0.0814042389392852,0.8644443600616714
9,9.71052457977236e-05,0.5573845936701848,0.5008865504672653,0.2411218732595443,0.2890613973140716,0.3204653263092041,0.334024578332901,0.3375181257724762,0.334383487701416,0.3244889080524444,0.3130180239677429,0.2960176765918731,0.2634045779705047,0.2223018109798431,0.180202767252922,0.1395113468170166,0.0944209322333335,0.0507189445197582,0.011396812275052,0.9132862390627527
10,0.0001,0.555113169321647,0.499627914867903,0.2342265844345092,0.2658695578575134,0.2823306918144226,0.2927891910076141,0.3011855483055115,0.3078173100948334,0.3139048814773559,0.3212676346302032,0.3298155069351196,0.3380358219146728,0.3432121276855469,0.344739019870758,0.3412689864635467,0.3302316665649414,0.3041798174381256,0.2362680286169052,0.8736741711617609
