epoch,lr,loss_train,loss_val,fbeta_0.10,fbeta_0.12,fbeta_0.14,fbeta_0.16,fbeta_0.18,fbeta_0.20,fbeta_0.22,fbeta_0.24,fbeta_0.26,fbeta_0.28,fbeta_0.30,fbeta_0.32,fbeta_0.34,fbeta_0.36,fbeta_0.38,fbeta_0.40,fbeta_0.42,fbeta_0.44,fbeta_0.46,fbeta_0.48,fbeta_0.50,fbeta_0.52,fbeta_0.54,fbeta_0.56,fbeta_0.58,fbeta_0.60,fbeta_0.62,fbeta_0.64,fbeta_0.66,fbeta_0.68,fbeta_0.70,fbeta_0.72,fbeta_0.74,fbeta_0.76,fbeta_0.78,fbeta_0.80,fbeta_0.82,fbeta_0.84,fbeta_0.86,fbeta_0.88,fbeta_0.90,fbeta_0.92,fbeta_0.94,fbeta_0.96,fbeta_0.98,accuracy
1,3.0000000000000004e-07,1.4543199687041053,0.7371759042143822,0.1833938658237457,0.1889135986566543,0.1938895881175995,0.1968213021755218,0.1990238726139068,0.2008427828550338,0.2025499492883682,0.2039869129657745,0.205407366156578,0.2067679464817047,0.2080435305833816,0.2093574553728103,0.2108193784952163,0.2123316973447799,0.2140929251909256,0.2161437720060348,0.2184389531612396,0.2209985107183456,0.223760038614273,0.2268429696559906,0.2296175956726074,0.2319723665714264,0.2330316007137298,0.2317130714654922,0.2276590764522552,0.220184326171875,0.207987979054451,0.1891197115182876,0.159511312842369,0.1200475245714187,0.0753477066755294,0.0367079824209213,0.0147688947618007,0.0053648469038307,0.0012834379449486,0.0001431962591595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6203976076034846
2,3.27e-06,1.376711925794912,0.7110467447588841,0.2085590660572052,0.2096864432096481,0.211048811674118,0.2121520340442657,0.2133646011352539,0.2147020250558853,0.2158810198307037,0.2166481018066406,0.2172521650791168,0.217891126871109,0.2185205221176147,0.2191379070281982,0.2198234349489212,0.2205209583044052,0.2212549597024917,0.2220652401447296,0.2229149490594864,0.2237613946199417,0.2246848046779632,0.2258388847112655,0.2270361930131912,0.2282563149929046,0.2298030406236648,0.2316086441278457,0.2340930253267288,0.2370282113552093,0.2398661971092224,0.2432345747947693,0.2476358264684677,0.2513755559921264,0.2527724504470825,0.2474343031644821,0.232887402176857,0.2053426951169967,0.1568364202976226,0.0910826846957206,0.0359903126955032,0.007700468879193,0.0006483221659436,3.7355666790972464e-06,0.0,0.0,0.0,0.0,0.0,0.592921969044368
3,6.24e-06,1.323227847269339,0.6670671831816435,0.2134156376123428,0.2144529521465301,0.2155600041151046,0.2167836725711822,0.2176639586687088,0.2188115715980529,0.2195596992969513,0.2202507555484771,0.2209400236606598,0.221568152308464,0.2223037928342819,0.2232061028480529,0.2240127176046371,0.2249250710010528,0.2256840467453003,0.2265077531337738,0.2274547070264816,0.2285304069519043,0.2299946695566177,0.2317437082529068,0.2338393777608871,0.2365435063838958,0.2404370009899139,0.2464485913515091,0.2550421357154846,0.2657558619976043,0.2786613404750824,0.2936981618404388,0.308648407459259,0.3193870782852173,0.3220138251781463,0.3106047511100769,0.2725115418434143,0.2036616951227188,0.1128059476613998,0.0362414978444576,0.0052521317265927,0.0001965853007277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6191742203885124
4,9.209999999999998e-06,1.3117134247639382,0.677707887099435,0.2132243812084198,0.2140813171863556,0.2148399353027343,0.2156521826982498,0.2163629680871963,0.2172005623579025,0.2182005792856216,0.2195815443992614,0.2204800397157669,0.2214503586292266,0.2222911119461059,0.2230056226253509,0.2235958576202392,0.2242385447025299,0.2249361723661422,0.2257164269685745,0.2266739606857299,0.2278641611337661,0.2293837964534759,0.2313311249017715,0.2337855696678161,0.2368896454572677,0.2410887330770492,0.2464624494314193,0.2524819076061249,0.259354680776596,0.267565369606018,0.2776292264461517,0.2893656194210052,0.3019070923328399,0.3152365684509277,0.3297037184238434,0.3454337120056152,0.3611393868923187,0.370441734790802,0.369951844215393,0.3576471507549286,0.330799251794815,0.2796921730041504,0.201580598950386,0.1053452938795089,0.0317934937775135,0.0048806308768689,3.651868246379309e-05,0.0,0.6082193299196517
5,1.218e-05,1.2734411354212798,0.6771460608579218,0.2147065699100494,0.2156929522752761,0.2166623473167419,0.2178389430046081,0.2187168896198272,0.2195144593715667,0.2200708091259002,0.2206359654664993,0.221372589468956,0.2224698662757873,0.2231547385454177,0.2240319103002548,0.2251612544059753,0.2265995144844055,0.2282341867685318,0.2299526184797287,0.2318847924470901,0.234036386013031,0.2364381551742553,0.2392492741346359,0.242740660905838,0.2465372383594513,0.2507431209087372,0.2556764185428619,0.2617621421813965,0.2686549723148346,0.276283711194992,0.2846505343914032,0.29400435090065,0.3043268620967865,0.3156841993331909,0.3279044926166534,0.3389624953269958,0.3489019870758056,0.3570221364498138,0.3629816770553589,0.369823008775711,0.3702729940414428,0.3547381162643432,0.31793412566185,0.2545417845249176,0.1482496410608291,0.0388048663735389,0.0001832725974963,0.0,0.6352124996596553
6,1.515e-05,1.22044192081274,0.664831466662387,0.2138838469982147,0.2148856073617935,0.2159025818109512,0.2169331163167953,0.2180181741714477,0.2191177755594253,0.2198835015296936,0.2208839952945709,0.2222431451082229,0.2236911505460739,0.225368320941925,0.2272751182317733,0.2294776886701584,0.2317408919334411,0.2342935651540756,0.2373421937227249,0.2407760918140411,0.2447878718376159,0.2496796995401382,0.2551211714744568,0.2608520984649658,0.2666919827461242,0.2728060781955719,0.2791747450828552,0.2854003012180328,0.2919621765613556,0.2989832758903503,0.3057438433170318,0.3116718828678131,0.3174168765544891,0.3235305845737457,0.3305821418762207,0.3378069996833801,0.344705194234848,0.3535531461238861,0.3631749749183655,0.3715353310108185,0.3750542104244232,0.372038334608078,0.3570976257324219,0.3214863240718841,0.2548710703849792,0.1331349164247512,0.0254234969615936,0.0,0.6728045544593076
7,1.812e-05,1.193838630535806,0.6389004811644554,0.2131876200437545,0.2144933193922042,0.2159113883972168,0.2179661095142364,0.2210073769092559,0.2248224914073944,0.2297941893339157,0.2346650958061218,0.2408382296562194,0.2477067112922668,0.2549733817577362,0.2623393833637237,0.2703001499176025,0.2784895002841949,0.2869540154933929,0.2955668568611145,0.3046473264694214,0.3137119710445404,0.3229756951332092,0.3320562541484833,0.3401476740837097,0.3475872278213501,0.3538053333759308,0.3603655397891998,0.3677847683429718,0.3738897740840912,0.3800513744354248,0.3852449357509613,0.3891591131687164,0.3908783197402954,0.3906216323375702,0.3867445588111877,0.3807186782360077,0.3710663318634033,0.358932614326477,0.3447925448417663,0.3254904448986053,0.3015326559543609,0.280110090970993,0.2482716888189315,0.2028899192810058,0.1462778896093368,0.0846630632877349,0.0328390598297119,0.0037558341864496,0.8087444552775446
8,2.109e-05,1.1525679946869842,0.6613865986776849,0.2185476124286651,0.2192125171422958,0.2201240062713623,0.2205822020769119,0.2210892587900161,0.2217055857181549,0.2226451188325882,0.2239146530628204,0.2251219451427459,0.2263344675302505,0.2276985943317413,0.2292935103178024,0.2310110032558441,0.233048141002655,0.2354208827018737,0.2382293492555618,0.2416352182626724,0.245389848947525,0.2493388205766677,0.2538177967071533,0.2590207755565643,0.2648229300975799,0.27134570479393,0.2784567475318908,0.286469042301178,0.2951513528823852,0.3051454126834869,0.3152253627777099,0.3257707357406616,0.3369396328926086,0.348313957452774,0.358664721250534,0.3689918518066406,0.3791515231132507,0.3881125748157501,0.3955182135105133,0.4011585712432861,0.4029305279254913,0.4015774726867676,0.3952075541019439,0.3846587538719177,0.3640833497047424,0.335494190454483,0.2582198977470398,0.1047778651118278,0.6656963414438688
9,2.406e-05,1.1027095160743063,0.6061281350751718,0.2192339599132537,0.2208866626024246,0.223009780049324,0.2252604961395263,0.2275852262973785,0.2301742881536483,0.2329572588205337,0.2361933588981628,0.2399556636810302,0.2439281493425369,0.2482194453477859,0.2525911331176758,0.2575839161872864,0.2628454566001892,0.2686429619789123,0.2751166820526123,0.2820076048374176,0.2892707288265228,0.2966623902320862,0.3041749000549316,0.3119815587997436,0.3201172351837158,0.3286043703556061,0.338112860918045,0.3477095067501068,0.3579804599285126,0.3677729368209839,0.377491146326065,0.3872173130512237,0.395342469215393,0.4015261530876159,0.4064898490905761,0.4116410613059997,0.4154600501060486,0.4171779751777649,0.4171101748943329,0.4147100746631622,0.4065979421138763,0.3951517641544342,0.3790707886219024,0.3474562466144562,0.2899605631828308,0.2001324295997619,0.0981407910585403,0.0269813500344753,0.7587438083811892
10,2.703e-05,1.0904319138489953,0.6720858030021191,0.2216942310333252,0.2228320389986038,0.2241298556327819,0.2255721390247345,0.2271852791309356,0.2289047241210937,0.2307605594396591,0.2329552322626114,0.2353590130805969,0.2381825745105743,0.2412316352128982,0.2443863004446029,0.2475732862949371,0.2507376968860626,0.254056304693222,0.2575911283493042,0.2613232731819153,0.2650668919086456,0.2686758041381836,0.2724476456642151,0.276636004447937,0.2812649309635162,0.286155104637146,0.29144287109375,0.2970883548259735,0.3027909994125366,0.3091260194778442,0.315980315208435,0.3235995769500732,0.3310728967189789,0.3388742804527282,0.3481102287769317,0.3582832515239715,0.3696832060813904,0.3825697600841522,0.3954961001873016,0.4087259471416473,0.4216422438621521,0.4337237775325775,0.4477323591709137,0.4587795436382293,0.4508922398090362,0.4240882098674774,0.3665410876274109,0.206835851073265,0.7000711779094356
