epoch,lr,loss_train,loss_val,fbeta_0.20,fbeta_0.25,fbeta_0.30,fbeta_0.35,fbeta_0.40,fbeta_0.45,fbeta_0.50,fbeta_0.55,fbeta_0.60,fbeta_0.65,fbeta_0.70,fbeta_0.75,fbeta_0.80,fbeta_0.85,fbeta_0.90,fbeta_0.95,accuracy
1,4.000000000000002e-06,0.1432927720999532,0.0972147559126218,0.1039219871163368,0.1078611314296722,0.1221984326839447,0.1346567720174789,0.1522759646177292,0.1463342607021331,0.0637910515069961,0.0061575942672789,9.136110747931524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905075917694802
2,5.203460215272477e-06,0.121024035379406,0.0791600845340225,0.1470667868852615,0.1526768207550048,0.1569797247648239,0.1619129031896591,0.1842671483755111,0.2073436230421066,0.0783064290881156,0.00074867362855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9170397306435089
3,8.753494340683882e-06,0.1128210490641667,0.0889992566986216,0.1218910440802574,0.1420109272003173,0.1559000611305236,0.1613677442073822,0.1710636615753173,0.1992005109786987,0.1941748857498169,0.0022430208045989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9093211699239558
4,1.4472088841534572e-05,0.1056077389060989,0.0820027767784065,0.1508813500404358,0.1566644161939621,0.1600185483694076,0.1645475625991821,0.1797548532485962,0.2136289626359939,0.2043013274669647,0.0035309656523168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115652646507878
5,2.207248951078079e-05,0.105393660796243,0.0780772808939218,0.1494158208370208,0.1557477712631225,0.1604818850755691,0.1709617972373962,0.1945709586143493,0.224234327673912,0.2076228260993957,0.0017155073583126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9083468661649088
6,3.117358052235722e-05,0.1050335915051689,0.2962876407222615,0.1230892017483711,0.1292542368173599,0.1364020109176635,0.1528675854206085,0.1505937874317169,0.1036504581570625,0.0028152887243777,1.074500960385194e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8118655209334039
7,4.131899517009692e-05,0.1013603965325873,1.0312249590125349,0.1085659265518188,0.1110243946313858,0.1142325550317764,0.1212778016924858,0.0925040766596794,0.0294325370341539,0.0018454329110682,3.8445427890110295e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7168414984770775
8,5.2e-05,0.0967297484130822,0.0679241437464952,0.1513804942369461,0.1573303192853927,0.1666627824306488,0.2098439782857895,0.2757988572120666,0.3227482736110687,0.3153321743011474,0.124478556215763,0.0002425688144285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916726058835844
9,6.268100482990308e-05,0.1014013137928275,0.0826721354905102,0.1246734336018562,0.1591590195894241,0.1732001155614853,0.193967118859291,0.2199770808219909,0.254424124956131,0.3012130856513977,0.3668930828571319,0.2537471354007721,0.071324311196804,0.0024788472801446,0.0,0.0,0.0,0.0,0.0,0.8550923664911043
10,7.282641947764279e-05,0.0970124759126541,0.0622122613713145,0.1532710939645767,0.1998894661664962,0.2924202978610992,0.3576002418994903,0.3871336877346039,0.3943133354187011,0.3233390152454376,0.1849454790353775,0.068499244749546,0.0175374522805213,0.0,0.0,0.0,0.0,0.0,0.0,0.923795860193397
