epoch,lr,loss_train,loss_val,fbeta_0.20,fbeta_0.25,fbeta_0.30,fbeta_0.35,fbeta_0.40,fbeta_0.45,fbeta_0.50,fbeta_0.55,fbeta_0.60,fbeta_0.65,fbeta_0.70,fbeta_0.75,fbeta_0.80,fbeta_0.85,fbeta_0.90,fbeta_0.95,accuracy
1,4e-05,0.2688016914404355,0.252151467230009,0.1371254026889801,0.1371254026889801,0.1371254175901413,0.1371272802352905,0.1373107135295868,0.1401751190423965,0.1342114061117172,0.067742608487606,0.0030974368564784,1.3993801985634493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5669649148520258
2,4.654657436669327e-05,0.2485652352754886,0.3131831081017204,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371257156133651,0.1371567845344543,0.1383698582649231,0.1400167196989059,0.0892478451132774,0.0048575708642601,2.7050286007579416e-05,0.0,0.0,0.0,0.0,0.0,0.2094006592163516
3,6.600772398369546e-05,0.248436935360615,0.2648731340532717,0.1371254026889801,0.1371254026889801,0.1371254473924636,0.1371256411075592,0.137154072523117,0.1382585018873214,0.1466566622257232,0.1369838565587997,0.0424318499863147,0.0016588530270382,1.2154765499872155e-05,0.0,0.0,0.0,0.0,0.0,0.3440961245501415
4,9.785259942088528e-05,0.2472887880527056,0.2638798641121905,0.1371254026889801,0.1371254026889801,0.1371253281831741,0.1371252834796905,0.1371368467807769,0.1374708265066146,0.1384444832801818,0.1177264750003814,0.0416896753013134,0.0056631108745932,0.0001280087453778,0.0,0.0,0.0,0.0,0.0,0.3335800615343262
5,0.0001412125554897,0.2458832672009101,0.272429029578748,0.1371254026889801,0.1371254473924636,0.1371300369501114,0.1372642666101455,0.1385177373886108,0.1388458609580993,0.110497809946537,0.0467025265097618,0.0111517552286386,0.0007791615789756,4.679341600422049e-06,0.0,0.0,0.0,0.0,0.0,0.7590356841546889
6,0.0001949048456196,0.2442483386168113,0.2465980461110239,0.1371254026889801,0.1371254026889801,0.1371254324913025,0.1371271312236786,0.1371717751026153,0.1376346349716186,0.1246059760451316,0.0398718640208244,0.0006114607094787,3.734885922312969e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.4332662299054199
7,0.0002574648841012,0.2431993438647343,0.2441302816505017,0.1371254026889801,0.1371254026889801,0.1371254175901413,0.1371265202760696,0.1371935904026031,0.1382133960723877,0.1238894313573837,0.0393415838479995,0.0003196620964445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5875535982595977
8,0.0003271861961665,0.2428557460124676,0.2660897477813389,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254175901413,0.1371276080608368,0.1372317820787429,0.1373792290687561,0.1267028450965881,0.0299677737057209,8.499349496560171e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.2684537999174676
9,0.0004021669661724,0.2427064803930429,0.2529052016527756,0.1371254026889801,0.1371254026889801,0.1371254175901413,0.137127086520195,0.1372891366481781,0.1395566165447235,0.1033237650990486,0.0029406491667032,1.8707868321143904e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8097689266908085
10,0.0004803619141732,0.2425646589352534,0.2841720270073932,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.137125939130783,0.1372350454330444,0.1420111507177353,0.1674968302249908,0.0949341654777526,0.0008844459080137,0.0,0.0,0.0,0.0,0.0,0.0,0.2377904299118695
11,0.0005596380858267,0.242381704541353,0.2783594921879146,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371267735958099,0.1372267007827758,0.1389296948909759,0.1460672169923782,0.0666205659508705,0.0004182958509773,0.0,0.0,0.0,0.0,0.0,0.0,0.2386004213902169
12,0.0006378330338275,0.2425180909725336,0.2533252537250519,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254622936248,0.1371362507343292,0.1373870372772216,0.1397828757762909,0.1336645781993866,0.0076890550553798,9.346514389108052e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.3756739356575643
13,0.0007128138038334,0.2426434702598131,0.3364093873811805,0.1371254026889801,0.137125477194786,0.1371546387672424,0.1393575072288513,0.158513531088829,0.1643377244472503,0.1462956070899963,0.0688521638512611,0.0009096804424189,3.74532305613684e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.7279286011802866
14,0.0007825351158987,0.2431524558709218,0.3010156841381736,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.137125477194786,0.1371401995420456,0.1373289823532104,0.1389398723840713,0.1639478504657745,0.1502093970775604,0.002189602702856,0.0,0.0,0.0,0.0,0.0,0.0,0.2801053301749343
15,0.0008450951543803,0.2425769693576372,0.2444859166508135,0.1371254026889801,0.1371254026889801,0.1371254026889801,0.1371254175901413,0.1371268033981323,0.1373166143894195,0.1363105326890945,0.0505771003663539,9.790359763428567e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3785974437359481
