epoch,lr,loss_train,loss_val
1,1e-06,0.1289804048836231,0.1162003520876169
2,3.43e-05,0.0949693241467078,0.0874360005060831
3,6.76e-05,0.0537300178781151,0.0397594661141435
4,0.0001009,0.0356802657246589,0.0310872422996908
5,0.0001342,0.0295548281321922,0.0279904395962754
6,0.0001675,0.0247703846233586,0.02422822957548
7,0.0002008,0.0206887000861267,0.022800754988566
8,0.0002341,0.0183092225187768,0.0203882008790969
9,0.0002674,0.0157491481552521,0.0167438787175342
10,0.0003007,0.0146285889825473,0.0159514003510897
11,0.000334,0.0125855431115875,0.0139601024178167
12,0.0003673,0.0117144042315582,0.0122513843234628
13,0.0004006,0.0106916742709775,0.0103611964344357
14,0.0004339,0.0096303191113596,0.0117285656742751
15,0.0004672,0.0092428623931482,0.0116510286461561
16,0.0005005,0.0091212338147064,0.0127820660903429
17,0.0005338,0.0081413040403276,0.0098842046378801
18,0.0005671,0.0082499767808864,0.0082247654985015
19,0.0006004,0.0075610160361975,0.0078879247497146
20,0.0006337,0.0072106350911781,0.0084403315365004
21,0.000667,0.007079509878531,0.007330642780289
22,0.0007003,0.0070766052774464,0.0066546524952476
23,0.0007336,0.00682356589629,0.0064698975378026
24,0.0007669,0.0063936150632798,0.0071300888860908
25,0.0008002,0.0063896431277195,0.0073166367171021
26,0.0008335,0.0061878408227736,0.0084597196352357
27,0.0008668,0.0062894734942043,0.0063403228414244
28,0.0009001,0.0059148249061157,0.0063159267495696
29,0.0009334,0.0058480606414377,0.0059572221362032
30,0.0009667,0.006651001687472,0.0077275418249579
31,0.001,0.005647844945391,0.005542933436421
32,0.001,0.0056275820049146,0.0054446319506193
33,0.001,0.0053552510604883,0.0052453306270763
34,0.001,0.0052611792615304,0.0050596371293067
35,0.001,0.0051346570563813,0.0056143755791708
36,0.001,0.0053216607154657,0.0058503815477403
37,0.001,0.0050707750837318,0.0093699875869788
38,0.001,0.0054552793192366,0.006808560496817
39,0.001,0.0050008828441301,0.0061397858080454
40,0.001,0.00492634686719,0.0050784418320593
41,0.001,0.0046223873117317,0.0049948902742471
42,0.001,0.0046233628876507,0.0067291858722455
43,0.001,0.0045732472596379,0.0044484316410186
44,0.001,0.0047032968412774,0.0045994602260179
45,0.001,0.0047653836430981,0.0058149709560287
46,0.001,0.0044209901010617,0.0045668691066869
47,0.001,0.0047822126148579,0.0042857111257035
48,0.001,0.0043660549563355,0.0041080506731911
49,0.001,0.0043648633523844,0.0042613299544124
50,0.001,0.0044145521785443,0.0056159797629031
51,0.001,0.0060140544005359,0.0098973691347055
52,0.001,0.0050663942975612,0.0071747712984991
53,0.001,0.0048894328220436,0.0167064593018343
54,0.001,0.004479069476171,0.0047240647836588
55,0.001,0.0046639213028053,0.0064566887643498
56,0.001,0.0044612587119142,0.0059611678395109
57,0.001,0.0044128115056082,0.0045084042358212
58,0.001,0.0044423013110645,0.0041920634297033
59,0.001,0.0041111428290605,0.0089062257514645
60,0.001,0.0041905323353906,0.0040933467292537
61,0.001,0.0038836799950028,0.0036524024326354
62,0.001,0.0039267269428819,0.0036805610385878
63,0.001,0.0040193671826273,0.0038983301395395
64,0.0010000000000000005,0.0038558226777240636,0.0036004290935428194
