epoch,lr,loss_train,loss_val,fbeta_0.20,fbeta_0.25,fbeta_0.30,fbeta_0.35,fbeta_0.40,fbeta_0.45,fbeta_0.50,fbeta_0.55,fbeta_0.60,fbeta_0.65,fbeta_0.70,fbeta_0.75,fbeta_0.80,fbeta_0.85,fbeta_0.90,fbeta_0.95
1,1.0000000000000002e-06,0.8406983843216529,0.8618732541799545,0.2087686210870742,0.1799723654985427,0.1387249529361724,0.0941372141242027,0.0572280511260032,0.0326141491532325,0.0177585240453481,0.0091889100149273,0.0045457961969077,0.0020989326294511,0.0009058974683284,0.0003826313186436,0.0001351714308839,4.998691292712465e-05,1.3379597476159688e-05,1.6680564840498846e-06
2,1.09e-05,0.8160067494098957,0.7922890534003576,0.2359749525785446,0.2308893352746963,0.2201143056154251,0.2027136087417602,0.1777977496385574,0.1458343118429184,0.1097146794199943,0.0745793730020523,0.045814886689186,0.0256151631474494,0.0131614236161112,0.0060985367745161,0.0024979556910693,0.0008288647513836,0.0001944248360814,2.2221058316063136e-05
3,2.08e-05,0.7828799733748802,0.764583503206571,0.241161897778511,0.2410988211631775,0.2378055900335312,0.2309979945421219,0.2203448861837387,0.2054574936628341,0.1849393993616104,0.1581505239009857,0.1256046146154403,0.0897613614797592,0.056200586259365,0.0300262384116649,0.0130795827135443,0.0042391112074255,0.0009247389971278,7.760569133097306e-05
4,3.07e-05,0.7577828416457543,0.7235249578952789,0.2452852725982666,0.2460290640592575,0.2462717741727829,0.2454874217510223,0.2431624829769134,0.2394479215145111,0.2340293079614639,0.2261536419391632,0.2145464420318603,0.1975537240505218,0.1730777472257614,0.1377336382865905,0.0891072750091552,0.0375975891947746,0.0069666230119764,0.0002777593035716
5,4.06e-05,0.7275179349459134,0.6794740358988444,0.2488471120595932,0.2491834610700607,0.2498908936977386,0.2534626424312591,0.265774518251419,0.2849470973014831,0.2899166941642761,0.2913158535957336,0.2920368611812591,0.2922199368476867,0.2912127077579498,0.2878664433956146,0.2783660590648651,0.2492225766181945,0.1584154069423675,0.0156280994415283
6,5.050000000000001e-05,0.7056485808812655,0.6684182236591975,0.2393064945936203,0.2397286295890808,0.2401939779520034,0.2408125102519989,0.2414958924055099,0.2418389022350311,0.2420303672552108,0.2421999424695968,0.2423987984657287,0.2426532059907913,0.2429976612329483,0.2434643357992172,0.244105190038681,0.2453400790691375,0.2456217557191848,0.1515352725982666
7,6.04e-05,0.6857222731296833,0.6427549372116724,0.2593675851821899,0.2600772976875305,0.260944664478302,0.2621581852436065,0.2633216381072998,0.2639384269714355,0.2642809450626373,0.2645809948444366,0.2648691534996032,0.2651413083076477,0.2654805481433868,0.2659038603305816,0.2665029466152191,0.2674403488636017,0.2704247236251831,0.2860302031040191
8,7.03e-05,0.6744235222156231,0.6392514059940974,0.2711556851863861,0.2720266878604889,0.2730330228805542,0.2742738127708435,0.2756514549255371,0.27655228972435,0.2770576775074005,0.2774433195590973,0.2778148949146271,0.278194397687912,0.2786760032176971,0.2793312072753906,0.2802866101264953,0.2820400595664978,0.2873733043670654,0.2861625552177429
9,8.02e-05,0.6723029301716731,0.6387684096892675,0.2739988267421722,0.2746583819389343,0.2754152715206146,0.2764072716236114,0.2775906324386596,0.2784327566623688,0.2788922786712646,0.2792441844940185,0.2795608639717102,0.2798583507537842,0.2801518440246582,0.2805010378360748,0.2809467017650604,0.2815525531768799,0.2830773591995239,0.2929904758930206
10,9.01e-05,0.672877694093264,0.6481179594993591,0.2533088028430938,0.2535364627838135,0.2537480592727661,0.2539324462413788,0.2540950179100036,0.2542199194431305,0.2543273270130157,0.2544244527816772,0.2545205056667328,0.2546184957027435,0.2547235786914825,0.2548634707927704,0.2550511658191681,0.2553536593914032,0.25588059425354,0.2577901184558868
