step,loss,accuracy,precision,f0point5,val_loss,val_accuracy,val_precision,val_f0point5
0,1.0061497688293457,0.8872036337852478,0.032560043036937714,0.03492562472820282,1.0953937768936157,0.8916795253753662,0.0,0.0
20,1.0746650248765945,0.8553809314966202,0.13323048474267124,0.12190953502431512,1.1178230047225952,0.8829243779182434,0.0,0.0
40,1.047154301404953,0.8689429342746735,0.12737091910094023,0.11964422762393952,1.087841510772705,0.8873528242111206,0.09265175461769104,0.0193390641361475
60,1.0400689899921418,0.8728861480951309,0.16002024710178375,0.15090517252683638,1.1068414449691772,0.8106248378753662,0.11121849715709686,0.10612098127603531
80,1.0447063803672791,0.8728630930185318,0.2539369694888592,0.24946793280541896,1.1183241605758667,0.6645304560661316,0.08807940781116486,0.09984835982322693
100,1.002538052201271,0.9212629526853562,0.4311350405216217,0.43976383879780767,1.0958056449890137,0.7949184775352478,0.09713596105575562,0.09949143975973129
120,0.9990955561399459,0.9429416269063949,0.6000763326883316,0.6105238698422909,1.1114736795425415,0.7317572832107544,0.08350595831871033,0.09086911380290985
140,0.9686218559741974,0.9664096474647522,0.6796843871474266,0.6982359200716018,1.1532167196273804,0.484466552734375,0.13471652567386627,0.15994301438331604
160,0.9774109244346618,0.9786217540502549,0.839886049926281,0.8527520656585693,1.1123141050338745,0.7072075605392456,0.11589605361223221,0.12865647673606873
180,0.9819946885108948,0.985304769873619,0.8423199862241745,0.8575321823358536,1.096243977546692,0.7219746708869934,0.11056951433420181,0.12324010580778122
200,0.9698276191949844,0.9889536559581756,0.8977429986000061,0.9119973421096802,1.0809804201126099,0.8631184697151184,0.08291235566139221,0.0528385266661644
220,0.9522526830434799,0.9919019877910614,0.897017526626587,0.9121590971946716,1.1144839525222778,0.7561916708946228,0.0780368447303772,0.08076154440641403
240,0.9549155801534652,0.9929355263710022,0.9120659828186035,0.9254668951034546,1.091983675956726,0.7862446904182434,0.07978993654251099,0.08101708441972733
260,0.9498141437768937,0.9937861114740372,0.9190311133861542,0.9322582453489303,1.106155276298523,0.722869873046875,0.06754948198795319,0.07367605715990067
280,0.9534580945968628,0.9936406493186951,0.9142275094985962,0.9280144512653351,1.0910594463348389,0.786102294921875,0.07641809433698654,0.07749830186367035
300,0.9459768533706665,0.9939020723104477,0.912918895483017,0.9267628252506256,1.0942482948303223,0.7071194052696228,0.11665258556604385,0.13137198984622955
320,0.951929897069931,0.9926673114299774,0.9312287747859955,0.9413312047719955,1.0912226438522339,0.7976345419883728,0.042313557118177414,0.041205503046512604
340,0.9487313508987427,0.9939425975084305,0.92711541056633,0.939329332113266,1.1348429918289185,0.6419745683670044,0.08034048974514008,0.09073105454444885
360,0.9491264015436173,0.9951734751462936,0.9522019058465958,0.9606389313936233,1.0853205919265747,0.7985568642616272,0.15651573240756989,0.15845434367656708
380,0.9197386562824249,0.9957975685596466,0.9277722507715225,0.9402230978012085,1.1296584606170654,0.6029052734375,0.12340885400772095,0.1436968445777893
400,0.9337106049060822,0.9957256704568863,0.9462853759527207,0.955708721280098,1.1292262077331543,0.6753065586090088,0.0712440237402916,0.07901420444250107
420,0.9389682084321975,0.9954950958490372,0.9460269749164582,0.9554733365774155,1.102941632270813,0.7065463662147522,0.13629849255084991,0.1522720754146576
440,0.942735469341278,0.9956454783678055,0.957582077383995,0.9651220619678498,1.093818187713623,0.7718573808670044,0.07335122674703598,0.07607147842645645
460,0.9426448911428451,0.9955464720726013,0.9536334216594696,0.9619045794010163,1.0856720209121704,0.8102993369102478,0.06709295511245728,0.06390179693698883
480,0.9264321565628052,0.9964538544416428,0.9491439491510392,0.9580625683069229,1.109742283821106,0.6847466230392456,0.11883086711168289,0.1337130069732666
500,0.9349361896514893,0.9960834085941315,0.9592507690191269,0.9665389984846116,1.0969151258468628,0.7326456904411316,0.13391368091106415,0.14678066968917847
520,0.9246407210826874,0.996321615576744,0.960524606704712,0.9676778942346573,1.1091927289962769,0.7023044228553772,0.07862463593482971,0.08724559843540192
540,0.929611223936081,0.9962602436542511,0.962766507267952,0.9694860965013504,1.1181241273880005,0.7177802324295044,0.07517573237419128,0.08106442540884018
560,0.9244898587465287,0.9963617950677872,0.9552388340234756,0.9631252735853195,1.0984587669372559,0.727325439453125,0.13242831826210022,0.1456959843635559
580,0.906006994843483,0.9970680981874466,0.9608319193124771,0.9678879052400589,1.0748647451400757,0.7694430947303772,0.14017744362354279,0.1515975147485733
600,0.9205258160829544,0.9966074675321579,0.9616008669137954,0.9685174196958541,1.0667333602905273,0.794097900390625,0.1542435586452484,0.16234782338142395
620,0.9219662725925446,0.9969080567359925,0.9631524860858918,0.969723129272461,1.0800381898880005,0.7961323857307434,0.09418636560440063,0.0943862646818161
640,0.927773168683052,0.9963563680648804,0.9625492066144943,0.9691534101963043,1.1207441091537476,0.6527811884880066,0.11201072484254837,0.12761184573173523
660,0.9245929002761841,0.9961674988269806,0.9655989944934845,0.9714949548244476,1.0718767642974854,0.7659538984298706,0.14447267353534698,0.15707556903362274
680,0.9210724294185638,0.9961430937051773,0.9567020177841187,0.9643898457288742,1.1131978034973145,0.7413432002067566,0.07500262558460236,0.07900697737932205
700,0.9122946500778198,0.9968877226114273,0.9658881694078445,0.9720267087221146,1.0822514295578003,0.7278781533241272,0.12973621487617493,0.1448381543159485
720,0.9187540650367737,0.9964524954557419,0.9658714711666108,0.9719916999340057,1.0644128322601318,0.7977668046951294,0.15408392250537872,0.16117435693740845
740,0.908367270231247,0.9970033466815948,0.9664954483509064,0.9726053088903427,1.1032676696777344,0.7149827480316162,0.08467577397823334,0.09335030615329742
760,0.9034137338399887,0.9970994710922241,0.9650684088468552,0.9714981019496918,1.0753649473190308,0.8049858808517456,0.10433328151702881,0.10292182862758636
780,0.9273232400417328,0.9965735495090484,0.9731615364551545,0.9780604690313339,1.0938751697540283,0.747100830078125,0.11663094162940979,0.12538665533065796
800,0.9008462607860566,0.9971101522445679,0.9648571163415909,0.9713666319847107,1.071058988571167,0.7589247226715088,0.14375466108322144,0.157339945435524
820,0.9014246076345444,0.9971849232912063,0.9618722856044769,0.9689433246850967,1.1056329011917114,0.6931321620941162,0.1264016032218933,0.14189954102039337
840,0.9037476867437363,0.9971094787120819,0.9691666692495347,0.9748844593763352,1.1139411926269531,0.6653544306755066,0.11788980662822723,0.1338140219449997
860,0.9047129392623902,0.9967239379882813,0.9545765578746795,0.9627440214157105,1.1096347570419312,0.6749301552772522,0.1289692372083664,0.1461791694164276
