epoch,lr,loss_train,loss_val,fbeta_0.20,fbeta_0.25,fbeta_0.30,fbeta_0.35,fbeta_0.40,fbeta_0.45,fbeta_0.50,fbeta_0.55,fbeta_0.60,fbeta_0.65,fbeta_0.70,fbeta_0.75,fbeta_0.80,fbeta_0.85,fbeta_0.90,fbeta_0.95
1,3.0000000000000004e-07,0.7339371791252723,0.6952100905279318,0.1332332640886306,0.1332435011863708,0.138664573431015,0.1575828492641449,0.186945766210556,0.2023841440677642,0.1747180372476577,0.1025042831897735,0.051977053284645,0.0395494699478149,0.0104115568101406,0.0001060505237546,3.7409809010569006e-06,0.0,0.0,0.0
2,3.27e-06,0.7254003047943115,0.6543782191971937,0.1378228217363357,0.1868181079626083,0.2172898650169372,0.2258252054452896,0.232824832201004,0.241293802857399,0.2481652349233627,0.2184042483568191,0.1411686390638351,0.0709763169288635,0.0354525037109851,0.0172382574528455,0.0073980768211185,0.0010704830056056,7.302934682229534e-05,0.0
3,6.24e-06,0.7011590618353624,0.6423636140922705,0.1553842276334762,0.2147898077964782,0.2255514860153198,0.2323820292949676,0.2404239922761917,0.2514403164386749,0.2594042718410492,0.2044156044721603,0.0938064530491828,0.0390558429062366,0.0242494828999042,0.0182329956442117,0.0113089056685566,0.0044007333926856,0.0002275047445436,0.0
4,9.209999999999998e-06,0.6810261432941144,0.6321784270306429,0.192662164568901,0.2245132029056549,0.2316093295812606,0.23776176571846,0.2486043870449066,0.2713584303855896,0.2803583443164825,0.2341062575578689,0.1400181353092193,0.0546400211751461,0.0184148214757442,0.0095105189830064,0.0047239861451089,0.0012815580703318,0.0,0.0
5,1.218e-05,0.6722797366288992,0.634305107096831,0.1978567838668823,0.2289104610681533,0.2353089749813079,0.2410251200199127,0.2577860951423645,0.2811359167098999,0.2958624064922333,0.2942472994327545,0.2790449261665344,0.2415032535791397,0.1771937161684036,0.1101242452859878,0.0582961067557334,0.0208146572113037,0.0045395442284643,5.1500093832146376e-05
6,1.515e-05,0.6641252407660851,0.7120810051759084,0.2242549210786819,0.2307413518428802,0.233612835407257,0.2352491170167923,0.2367203831672668,0.2386325299739837,0.2411860823631286,0.2444972842931747,0.2492220252752304,0.2568534314632416,0.2672483623027801,0.279118150472641,0.2753449082374573,0.2333742678165435,0.1060416400432586,0.0011916570365428
7,1.812e-05,0.6599121570587159,0.6115218854198853,0.2271836102008819,0.2424495071172714,0.2650601267814636,0.2879014611244201,0.306666761636734,0.3198273479938507,0.3274578750133514,0.3293050527572632,0.3232237100601196,0.298785001039505,0.237740933895111,0.149706020951271,0.067081943154335,0.0294842459261417,0.0079473787918686,0.0
8,2.109e-05,0.6545431742301354,0.629344716668129,0.2379058301448822,0.2619465291500091,0.2623293995857239,0.1631311625242233,0.1002634018659591,0.0648308768868446,0.0367574207484722,0.0227144863456487,0.0173375308513641,0.0125423315912485,0.0085933748632669,0.0057732723653316,0.004839131142944,0.0032623226288706,0.0011843643151223,0.0002490338229108
9,2.406e-05,0.6476251207865201,1.2363370781143506,0.2209032028913498,0.2230070680379867,0.2249369174242019,0.2262456119060516,0.227246418595314,0.2281535565853119,0.2290854752063751,0.2300817668437957,0.2310833036899566,0.2321075648069381,0.2332766652107238,0.234661191701889,0.2361092716455459,0.2375345081090927,0.2395236939191818,0.2438351958990097
10,2.703e-05,0.6437636292897738,0.6010954802234968,0.2346317917108535,0.2810057401657104,0.3463757932186126,0.3871165812015533,0.4055384993553161,0.412408173084259,0.4018583595752716,0.3646571040153503,0.298128604888916,0.2182881087064743,0.1368331760168075,0.0799627974629402,0.0490114130079746,0.0251771919429302,0.0152315087616443,0.0081778168678283
11,3e-05,0.6334748029708862,0.6074275945623716,0.2522884011268616,0.2938115894794464,0.3160671889781952,0.3329795300960541,0.3436759710311889,0.3416177332401275,0.3221569955348968,0.2909887433052063,0.2564680278301239,0.2134733498096466,0.1696970760822296,0.132343053817749,0.0980763137340545,0.0679999813437461,0.0430037155747413,0.018823504447937
