step,loss,accuracy,precision,f0point5,val_loss,val_accuracy,val_precision,val_f0point5
0,1.7050700187683105,0.8072319030761719,0.29569265246391296,0.00280536781065166,1.5699388068169355,0.841174652799964,0.0,0.0
128,1.598263654857874,0.8335274341516197,0.1968743075412931,0.006050737377790938,1.5240148082375526,0.8500328911468387,0.14431885414524004,0.015692378922722128
256,1.5542590264230967,0.8432907965034246,0.30407710434519686,0.06154057933053991,1.5487844850867987,0.8452977500855923,0.16243959635903593,0.008291556084259355
384,1.6532594142481685,0.8180592055432498,0.4672675756155513,0.26019127730978653,1.5195515397936106,0.8472885545343161,0.1528216404694831,0.037962489958772494
512,1.5801257649436593,0.7840866050682962,0.20163935345772188,0.17262185145227704,1.520447539165616,0.6654081949964166,0.13347080966923386,0.14253775833640248
640,1.5624040812253952,0.7864543800242245,0.19794552177654623,0.1708462460054534,1.5342319495975971,0.6731121139600873,0.1605776728829369,0.1746712102321908
768,1.5643758159130812,0.8057785993441939,0.32775294850580394,0.2859220271348022,1.544999247416854,0.8089833278208971,0.147997394669801,0.1052599215763621
896,1.5548802530393004,0.8025183919817209,0.34680175490211695,0.3160449917195365,1.5628915391862392,0.8422158192843199,0.19714729071165493,0.0041128252662190334
1024,1.5992425829172134,0.711426040623337,0.18910543058882467,0.1909834097023122,1.5757091827690601,0.596531639341265,0.15454132307786494,0.1726366369985044
1152,1.5725389439612627,0.6909442492760718,0.22143251757370308,0.23816694371635094,1.5416119489818811,0.5081535698845983,0.15371548535767943,0.178013049880974
1280,1.5667882859706879,0.747226454783231,0.2782040366437286,0.282015086064348,1.5237089414149523,0.7726296354085207,0.14371467917226255,0.134199038031511
1408,1.5152662182226777,0.773117118049413,0.2955056153004989,0.29907702788477764,1.5347017925232649,0.788263164460659,0.13488786097150296,0.11616770533146337
1536,1.547039506956935,0.7642206181772053,0.29445410321932286,0.2977340738289058,1.5395470894873142,0.4377593891695142,0.1518538580276072,0.17824656853917986
1664,1.5553135741502047,0.7445039385929704,0.27946477831574157,0.2892835547099821,1.55473648943007,0.6238625505939126,0.15089863329194486,0.16783887729980052
1792,1.5567958718165755,0.740460756700486,0.28472491673892364,0.2980259748874232,1.5484597012400627,0.677119548432529,0.15700106718577445,0.1690134520176798
1920,1.58362942840904,0.7242092005908489,0.2707180530123878,0.2840112537960522,1.5280233602970839,0.6146160950884223,0.13992325763683766,0.1571814559865743
2048,1.5293604023754597,0.7342115882784128,0.26959768385859206,0.2864522081799805,1.558735053986311,0.5794151471927762,0.15572457702364773,0.17650275223422796
2176,1.5462848655879498,0.7302629174664617,0.25732491025701165,0.27082213963149115,1.539764016866684,0.7953914711251855,0.1450781075982377,0.12021738942712545
2304,1.5810530111193657,0.7019593068398535,0.2047870893147774,0.2162677306914702,1.574621157720685,0.5967737035825849,0.15729262644890696,0.17627599649131298
2432,1.5689889192581177,0.7001972594298422,0.2584156752564013,0.2786392637062818,1.5324487779289484,0.6132614109665155,0.15254408575128764,0.17157261725515127
2560,1.528400782495737,0.7254277719184756,0.27503739995881915,0.2950261003570631,1.55325161293149,0.6648546634241939,0.14304304256802425,0.15455439034849405
2688,1.5316376788541675,0.7238787249661982,0.27829707378987223,0.29892031190684065,1.5159135553985834,0.6478959005326033,0.13695273164194077,0.15158574539236724
2816,1.5555875012651086,0.7195535860955715,0.28342621255433187,0.30273254500934854,1.5421838629990816,0.6976661961525679,0.15064187184907496,0.15981366101186723
2944,1.5125841116532683,0.7208741274662316,0.2681657011853531,0.28992977138841525,1.5461758114397526,0.6196457985788584,0.14544153690803796,0.1623895800439641
3072,1.488701542839408,0.7352794129401445,0.2636746928910725,0.28426077781477943,1.5685862340033054,0.6881726514548063,0.15270507347304374,0.16154855443164706
3200,1.4817125955596566,0.7355318563058972,0.25522013881709427,0.27457114966819063,1.544544905424118,0.6219556154683232,0.14795465942006558,0.16528197843581438
3328,1.5004676496610045,0.7353047397918999,0.2639924085815437,0.28282076126197353,1.5195608586072922,0.6811472726985812,0.14868672366719693,0.16161752899643034
3456,1.5427445638924837,0.7306724898517132,0.2921774810529314,0.3111893621971831,1.5566357802599669,0.646817903034389,0.15005463582929224,0.16468294570222497
3584,1.4971411721780896,0.7191243669949472,0.26396377524361014,0.28699602477718145,1.5036740712821484,0.673479656688869,0.13468613964505494,0.1478592474013567
3712,1.4914769660681486,0.7269369205459952,0.263625007472001,0.28532485372852534,1.5750664044171572,0.7021496891975403,0.15027705882675946,0.15618042380083352
3840,1.5414951127022505,0.7027529310435057,0.2721351057407446,0.2959833321510814,1.5586178302764893,0.6354522090405226,0.14102371304761618,0.1554986023111269
