epoch,lr,loss_train,loss_val,fbeta_best,threshold_best,accuracy
1,3.0000000000000004e-07,1.6068650622700535,0.978066235780716,0.2379152029752731,0.4399999999999998,0.8412160068034186
2,3.27e-06,1.455114023630009,0.82569461138919,0.2759069204330444,0.5999999999999998,0.6013756106170561
3,6.24e-06,1.350410863410595,0.805886930366978,0.3282488584518432,0.6699999999999997,0.5811640001985103
4,9.209999999999998e-06,1.3165921092957489,0.8005534099414945,0.3218133151531219,0.6399999999999997,0.5890850046914469
5,1.218e-05,1.2851171197817308,0.7525741660036147,0.3950065374374389,0.7099999999999996,0.7044558220961643
6,1.515e-05,1.2426160426102868,0.7797822088934481,0.3925838470458984,0.6999999999999996,0.800728424606547
7,1.812e-05,1.215148466502049,0.7093880227999761,0.4447756111621856,0.7399999999999997,0.8014376547361599
8,2.109e-05,1.1564459019853164,0.7048161091981455,0.4515246152877807,0.8199999999999996,0.7305374859058663
9,2.406e-05,1.109300690103871,0.7301570451119914,0.4992979764938354,0.9199999999999996,0.7392529949852981
10,2.703e-05,1.100999889909759,0.7650419351062737,0.4665235877037048,0.8999999999999996,0.6514623430045304
11,3e-05,1.0699547829554064,0.7073123066918925,0.4906863570213318,0.8199999999999996,0.6824154453360028
12,3e-05,1.032338394675144,0.6433502647094429,0.534038782119751,0.7899999999999996,0.8015658367662288
13,3e-05,1.0300263466761097,0.6777472900808789,0.5586840510368347,0.8999999999999996,0.7264144581914748
14,3e-05,1.003792332586392,0.8399108567275106,0.5311366319656372,0.9599999999999996,0.6691119155798325
15,3e-05,0.9843576518140098,0.6837637303513475,0.471983253955841,0.6999999999999996,0.8644761597451653
16,3e-05,0.9784995978192764,0.6146813511382788,0.5351760387420654,0.8399999999999996,0.7984034018637953
17,3e-05,0.9529974395914595,0.6701332653523423,0.5662657022476196,0.9099999999999996,0.7411618219922748
18,3e-05,0.9439119752063309,0.6730998638668098,0.5743291974067688,0.9199999999999996,0.7445906044000925
19,3e-05,0.9224688826605332,0.6685110659804195,0.5668379664421082,0.9099999999999996,0.7356117602281556
20,3e-05,0.9325387847515964,0.5744719890644774,0.6064733862876892,0.8299999999999996,0.8477143993142512
21,3e-05,0.909564315810684,0.6111208737595006,0.5431408286094666,0.9199999999999996,0.8234994466622368
22,3e-05,0.9042296257129936,0.6016397160477936,0.5209609270095825,0.8699999999999996,0.7985654735387528
23,3e-05,0.8777469378109126,0.580643393844366,0.5831211805343628,0.8699999999999996,0.8283381155387788
24,3e-05,0.8751740820648134,0.5722098757978529,0.5696762204170227,0.8899999999999996,0.8301497922304079
25,3e-05,0.871376330076262,0.5622851375490427,0.6181718111038208,0.8699999999999996,0.8270766676457009
26,3e-05,0.8663751321245533,0.599532218836248,0.5383901596069336,0.8599999999999995,0.8463036052595957
27,3e-05,0.8430772049482479,0.686709386203438,0.6051399111747742,0.9499999999999996,0.734111308269672
28,3e-05,0.8401454243549081,0.5917383035644889,0.62724769115448,0.9199999999999996,0.7787711209246254
29,3e-05,0.8140433370604996,0.768664790969342,0.5925615429878235,0.9699999999999996,0.7237916120908212
30,3e-05,0.8416501565497051,0.5964425575453788,0.6005013585090637,0.8499999999999996,0.88105286919775
31,3e-05,0.8122507056524587,0.6132271965965629,0.5748724341392517,0.9399999999999996,0.8123696431430049
32,3e-05,0.8277265281640283,0.628186524938792,0.6191763281822205,0.9299999999999996,0.7522023731247971
33,3e-05,0.7940726922464001,0.5433238755445927,0.6059581637382507,0.8399999999999996,0.8681749586227712
34,3e-05,0.8151392488516578,0.5821213284507394,0.6356822848320007,0.9499999999999996,0.806115005040964
35,3e-05,0.8015250628308732,0.5168778383173048,0.6544046998023987,0.8899999999999996,0.8435291536877051
36,3e-05,0.7848681715107704,0.5661302874330432,0.6217764616012573,0.9299999999999996,0.8109530946073368
37,3e-05,0.786622520103011,0.5099959873594344,0.675783634185791,0.8799999999999996,0.8498706496944235
38,3e-05,0.793461938237035,0.5587606526911258,0.5712749361991882,0.8599999999999995,0.8547784688948095
39,3e-05,0.7732287608375845,0.5490155606530607,0.6203513145446777,0.9299999999999996,0.8268633463311225
40,3e-05,0.7610411911971809,0.5409143846482038,0.6850275993347168,0.9399999999999996,0.8149146106466009
41,3e-05,0.7733168232348538,0.5993507895385847,0.6637675166130066,0.9499999999999996,0.7825588052925004
42,3e-05,0.7459348537201105,0.5310316695831716,0.6399284601211548,0.8999999999999996,0.825022993786126
43,3e-05,0.7495464576307194,0.558376547973603,0.6442007422447205,0.9499999999999996,0.8211765480567716
44,3e-05,0.7447688856790232,0.5293563636252656,0.6125853061676025,0.9199999999999996,0.853291128656485
45,3e-05,0.7442281079846759,0.5387621976668016,0.679175078868866,0.9399999999999996,0.8241457443971534
46,3e-05,0.7232877723006315,0.5549867508932949,0.6135114431381226,0.7999999999999996,0.8884747400490444
47,3e-05,0.7315913461899572,0.5409014658071101,0.6381784081459045,0.8299999999999996,0.8966282796438324
48,3e-05,0.7108748910963073,0.5262478284537793,0.635434091091156,0.9099999999999996,0.8605228699103016
49,3e-05,0.708403980085092,0.5033650705590844,0.6540117859840393,0.9299999999999996,0.8710888308420099
50,3e-05,0.7076683127602865,0.4590191816911101,0.6815729141235352,0.8399999999999996,0.9021922448520084
51,3e-05,0.7138193282046059,0.672664446849376,0.5950624346733093,0.9599999999999996,0.7567326365776827
52,3e-05,0.6914767142414122,0.4649451095145195,0.6948479413986206,0.9299999999999996,0.8561683112316849
53,3e-05,0.6782632340756498,0.5109161835163831,0.6330353617668152,0.9099999999999996,0.8667037232071461
