epoch,lr,loss_train,loss_val,fbeta_best,threshold,loss_val_swa,fbeta_best_swa,threshold_swa
1,0.001,0.4620877215495476,0.2937957234680652,0.7706838250160217,0.9400000000000002,0.5770123988234749,0.7801875472068787,0.9600000000000002
2,0.0014,0.4409199650471027,0.266319442850848,0.7859955430030823,0.9200000000000002,0.5318634314462543,0.7900043725967407,0.9600000000000002
3,0.0018,0.4490101126524118,0.3013225268417348,0.7840675115585327,0.9600000000000002,0.5595947395389279,0.7984186410903931,0.9400000000000002
4,0.0021999999999999,0.4289884076668666,0.3488759796600789,0.7759416699409485,0.98,0.6110674034183224,0.8006693124771118,0.9600000000000002
5,0.0026,0.4708471165253566,0.4185258448123932,0.7468868494033813,0.8000000000000002,0.6785614668236425,0.7990824580192566,0.9400000000000002
6,0.003,0.462434460566594,0.3016704969098403,0.7667677402496338,0.9600000000000002,0.5540519976202631,0.7989147305488586,0.9600000000000002
7,0.0034,0.4550944754710564,0.3412750173980991,0.7575089931488037,0.98,0.5940616600370655,0.8019594550132751,0.9600000000000002
8,0.0038,0.4412801114412454,0.4262724024398873,0.6827788949012756,0.9400000000000002,0.6789064005327722,0.8007896542549133,0.9600000000000002
9,0.0041999999999999,0.4659774220906771,0.4028139129901926,0.7671907544136047,0.8400000000000001,0.6543345671767989,0.8037798404693604,0.9600000000000002
10,0.0046,0.4737779667744269,0.3370472102736433,0.7214574813842773,0.9000000000000001,0.5830029188655317,0.8094363212585449,0.9400000000000002
11,0.005,0.5170772378261272,0.2948856460667836,0.7751066088676453,0.9400000000000002,0.5415062362444587,0.805936336517334,0.9600000000000002
12,0.0046,0.4668290041960202,0.3662092294543981,0.7558100819587708,0.98,0.61348706864131,0.8106086850166321,0.9600000000000002
13,0.0041999999999999,0.4605501821407905,0.268585354865839,0.8009968996047974,0.9400000000000002,0.5152676089201123,0.8066908121109009,0.9600000000000002
14,0.0038,0.4624375797235048,0.4736581668257713,0.683137059211731,0.9200000000000002,0.7198905382926265,0.8136851191520691,0.9600000000000002
15,0.0034,0.4557925439797915,0.3159779712247352,0.7806040644645691,0.9600000000000002,0.55620340956375,0.8200053572654724,0.9400000000000002
16,0.003,0.4356908344305478,0.2862456742829333,0.806687593460083,0.9400000000000002,0.5339943941216916,0.8141201734542847,0.9600000000000002
17,0.0026,0.441400048824457,0.3204098562709987,0.7912691235542297,0.9400000000000002,0.5667315593066936,0.8149957060813904,0.9600000000000002
18,0.0021999999999999,0.4342120074308835,0.3175044331389169,0.7936483025550842,0.98,0.5611654843669385,0.8206854462623596,0.9600000000000002
19,0.0018,0.4321769760205196,0.303534370556008,0.8140488266944885,0.9400000000000002,0.5468270528169038,0.8175107836723328,0.9600000000000002
20,0.0014000000000000004,0.41651290976084193,0.30404698751711595,0.8029438257217407,0.9600000000000002,0.5456464784995964,0.8197777271270752,0.9600000000000002
