step,loss,accuracy,precision,f0point5,val_loss,val_accuracy,val_precision,val_f0point5
0,1.5346124172210693,0.2552706301212311,0.14716047048568726,0.17622417211532593,1.573379285633564,0.8395232614129782,0.09865575065487064,0.0002462241271388166
128,1.563543294556439,0.3336244955426082,0.1776379239745438,0.21037727443035692,1.5400122571736574,0.21804766752757132,0.1415090796072036,0.17001092829741538
256,1.5678823217749596,0.38335665105842054,0.18883730290690437,0.22243719443213195,1.5790902897715569,0.20116604818031192,0.15049030468799174,0.1804511243244633
384,1.5521601000800729,0.3742064628750086,0.18163374229334295,0.21449787699384615,1.591573404148221,0.42917746026068926,0.14622737909667194,0.17136093345470726
512,1.5686866054311395,0.2610880924621597,0.1677094570477493,0.20005598734132946,1.5488604120910168,0.23382462607696652,0.14934010931756347,0.17883081128820777
640,1.5669069197028875,0.31099788879510015,0.17789264116436243,0.2113032196648419,1.5307330042123795,0.30884356307797134,0.1460979520343244,0.1742229223018512
768,1.5788395069539547,0.39181432966142893,0.18870920361950994,0.2220619631698355,1.5345917046070099,0.47193483309820294,0.15642904595006257,0.182857726351358
896,1.5209959456697106,0.5259902307298034,0.17554094083607197,0.20330843311967328,1.5455544721335173,0.6163368462584913,0.15079237014288083,0.1691037968848832
1024,1.552554439753294,0.344928338075988,0.1731859909486957,0.20523118134588003,1.5554077103734016,0.2132296902127564,0.14482468913774937,0.17378097004257143
1152,1.5190379517152905,0.39856162550859153,0.17062648717546836,0.20170987164601684,1.5229359082877636,0.3346728505566716,0.14684394176583737,0.17480755492579192
1280,1.5802612705156207,0.3613192761549726,0.17872248752973974,0.21088248607702553,1.5815810170024633,0.4067512145265937,0.15223341283854097,0.1784841554472223
1408,1.5260103195905685,0.39780154381878674,0.15908910922007635,0.18797884037485346,1.5160242523998022,0.3554482227191329,0.14052323636133224,0.16691491357050836
1536,1.540853412821889,0.44499027519486845,0.1828174805850722,0.21422649919986725,1.5444887094199657,0.37598779052495956,0.14314243849366903,0.16948051052168012
1664,1.4989107390865684,0.5653712132479995,0.19684989098459482,0.22670353017747402,1.5413192640990019,0.5020532216876745,0.14289996644947678,0.16593694651965052
1792,1.5595781803131104,0.4498838430736214,0.19080339040374383,0.22289740754058585,1.5042658150196075,0.27239157422445714,0.13586523616686463,0.16288313770201057
1920,1.5450233574956656,0.4366689948365092,0.18908824160462245,0.22201736259739846,1.595387913286686,0.3558719977736473,0.16499432467389852,0.19503734726458788
2048,1.527714004740119,0.446962452493608,0.1805660713580437,0.2118552605388686,1.5291019137948751,0.3380204343702644,0.1403367961756885,0.16700943640898913
2176,1.4899520296603441,0.5241814889013767,0.18434698914643377,0.21447075705509633,1.577302236109972,0.4373511904850602,0.15844316291622818,0.18519356637261808
2304,1.558238654397428,0.4960459067951888,0.18995769746834412,0.22042977111414075,1.567278753966093,0.3009108256082982,0.15247709932737052,0.18150748894549906
2432,1.6000654064118862,0.3607576529029757,0.19018872670130804,0.224127616151236,1.5231933053582907,0.2917296716477722,0.1415129554225132,0.16922019643243402
2560,1.5609439574182034,0.37582470406778157,0.18555402295896783,0.2189882913371548,1.572705341503024,0.3688669726252556,0.15860757499467582,0.18740173405967653
2688,1.56347188167274,0.4057298412080854,0.18364363175351173,0.2157018645084463,1.5948206577450037,0.44091627560555935,0.14851753902621567,0.17336495395284146
2816,1.517614932730794,0.4256184392143041,0.16924044030020013,0.1994532526587136,1.549331085756421,0.3932636617682874,0.1551894685253501,0.18318030564114451
2944,1.5711173871532083,0.4454467638861388,0.18763645476428792,0.21947243507020175,1.5465639606118202,0.4904588875360787,0.14584948297124356,0.16972544754389673
3072,1.5442018629983068,0.40299552376382053,0.17249965306837112,0.20326014963211492,1.546111736446619,0.3055557182524353,0.1468139251228422,0.17513658781535923
3200,1.4917587619274855,0.5203308763448149,0.17449683143058792,0.20285069197416306,1.5308781303465366,0.6136379269883037,0.14563933946192265,0.1634760347660631
3328,1.5459843603894114,0.5159710713196546,0.19147727900417522,0.22144973691320047,1.5825592577457428,0.48707027919590473,0.15935676207300276,0.18443327234126627
3456,1.52766980137676,0.40955605497583747,0.17359202640363947,0.20474054862279445,1.5252548586577177,0.40431479178369045,0.1441080281510949,0.17033534846268594
3584,1.5689442669972777,0.42387003754265606,0.18386811984237283,0.21571030444465578,1.5578710716217756,0.2649431067984551,0.1508752634981647,0.18026336061302572
3712,1.5695919478312135,0.3547689658589661,0.17714585398789495,0.20949296915205196,1.5682276394218206,0.3675297067966312,0.16027472959831357,0.1893596206791699
3840,1.492615201510489,0.46479581855237484,0.17216598632512614,0.20230731624178588,1.5716746095567942,0.4317032927647233,0.15559116075746715,0.1822770304279402
3968,1.587289390154183,0.40377034014090896,0.18735258205560967,0.22000479872804135,1.5719251539558172,0.36654091347008944,0.14402115542907268,0.17022305552382022
4096,1.5564809627830982,0.46920773503370583,0.18199350469512865,0.21202546294080094,1.5501429326832294,0.4276852682232857,0.14398108830209821,0.16891910310368985
4224,1.5402205167338252,0.3997737988829613,0.17057219898561016,0.20119942660676315,1.5513748936355114,0.36385016655549407,0.14591680362354964,0.17272031458560377
4352,1.484774336218834,0.5725779824424535,0.1600990362931043,0.1836848101229407,1.531556049361825,0.5064639453776181,0.14401146222371608,0.16718761448282748
4480,1.5458334628492594,0.5252752765081823,0.18083025055238977,0.20874780579470098,1.5242504961788654,0.4006780334748328,0.14760162553284317,0.1743729206500575
4608,1.568940980359912,0.40854893811047077,0.1809290014207363,0.21275176526978612,1.5385010782629251,0.3480412666685879,0.15017615212127566,0.17832244222518057
4736,1.5221192855387926,0.44717261916957796,0.18036867282353342,0.21163059782702476,1.5590178780257702,0.4886482208967209,0.1367732206126675,0.15871275356039405
4864,1.5604407200589776,0.34810954972635955,0.17412722477456555,0.2062216410995461,1.5712638385593891,0.2936353387776762,0.1488193270051852,0.1770884863799438
4992,1.5429918617010117,0.3815319901332259,0.17157326365122572,0.2025960983010009,1.5496007110923529,0.43073548562824726,0.14669524633791298,0.17238037602510303
5120,1.5574903972446918,0.36262675165198743,0.1766803861828521,0.2090325874160044,1.569646667689085,0.31370231485925615,0.14591108448803425,0.17339033971074969
5248,1.5518371602520347,0.346532310009934,0.17657764861360192,0.20923229004256427,1.5650669764727354,0.2805997827090323,0.15274154243525118,0.18207668606191874
5376,1.5214637983590364,0.437038651201874,0.1733690110850148,0.20395242853555828,1.5721292216330767,0.43046792782843113,0.1503080679103732,0.17603852495085448
5504,1.5178352985531092,0.49335652589797974,0.18393081304384395,0.21472119115060195,1.5442715045064688,0.5514293047599494,0.15172181848902255,0.17418003163766116
5632,1.5646407529711723,0.39736995100975037,0.18916734657250345,0.22277854091953486,1.5561045445501804,0.29169980250298977,0.14794735901523381,0.17642078164499253
5760,1.585678401403129,0.35518875624984503,0.1815691968658939,0.2145412954268977,1.5767935030162334,0.36478503700345755,0.1464853355428204,0.17320129298605025
5888,1.5436439663171768,0.3673996354918927,0.17671775625785813,0.2090172447497025,1.553526308387518,0.32845568750053644,0.14310443308204412,0.17013643507380038
6016,1.5330480569973588,0.44144947547465563,0.16506316483719274,0.19342272356152534,1.530887084081769,0.5138035076670349,0.14627352508250624,0.16969113319646567
6144,1.5711112851276994,0.4838193424511701,0.19503361330134794,0.22677722899243236,1.5527427047491074,0.3054087122436613,0.1478018539492041,0.1760709547670558
6272,1.5643701748922467,0.4233940541744232,0.18511159671470523,0.217212111572735,1.597762944176793,0.4487350946292281,0.1536565173882991,0.17912502598483115
6400,1.5573601024225354,0.4340493844356388,0.17795597261283547,0.20886137476190925,1.5663059018552303,0.3315445822663605,0.15126278426032513,0.17954217118676752
6528,1.5658107735216618,0.39731873478740454,0.18188445322448388,0.21413547941483557,1.523295197635889,0.44648796133697033,0.1341737622860819,0.15772484277840704
6656,1.5990078067407012,0.32861890154890716,0.18652205693069845,0.22055483411531895,1.5424953028559685,0.2624655393883586,0.14906463085208088,0.1784173648338765
