epoch,lr,loss_train,loss_val,fbeta_best,threshold,accuracy
1,5.000000000000001e-07,0.4364131490389506,0.2686496793758124,0.8011927604675293,0.9600000000000002,0.9096240219071934
2,5.45e-06,0.4244517457577609,0.2566935344754408,0.7928757071495056,0.9400000000000002,0.921943844375661
3,1.04e-05,0.4394873641720114,0.2704681429701547,0.7970780730247498,0.98,0.9033409782965308
4,1.535e-05,0.4272731286148692,0.2639710843407859,0.7833605408668518,0.9600000000000002,0.9147735872411183
5,2.03e-05,0.4352211975312048,0.2714580602478236,0.7843493819236755,0.9600000000000002,0.912408572786364
6,2.5250000000000004e-05,0.4451945800651876,0.3033975224631528,0.793465793132782,0.9200000000000002,0.926891906322456
7,3.02e-05,0.4472192336422528,0.2626958560819427,0.8018642663955688,0.9400000000000002,0.9164724143118193
8,3.515e-05,0.4724782377250435,0.3031783428741619,0.7962299585342407,0.9400000000000002,0.9227609806794266
9,4.01e-05,0.5119540700616763,0.4007179943534235,0.7212284207344055,0.98,0.8682205503330744
10,4.505e-05,0.4832429731077002,0.3023091652042542,0.7963160276412964,0.9600000000000002,0.8831579858003353
11,5e-05,0.4978218210297961,0.3254831337835639,0.7643576860427856,0.9600000000000002,0.8665362832579554
12,5e-05,0.5023681181807851,0.306487716617994,0.7818019390106201,0.9400000000000002,0.8932357813629354
13,5e-05,0.5071632513242175,0.3301614695471168,0.7593933939933777,0.9000000000000001,0.9177522842682724
14,5e-05,0.4867413341999054,0.2858432890692104,0.7599766254425049,0.9600000000000002,0.9082086899228804
15,5e-05,0.4612502386403638,0.322286632998536,0.7942981719970703,0.98,0.8817816413903985
16,5e-05,0.4767011330109234,0.3290425440160713,0.793969452381134,0.9000000000000001,0.9360594318164482
17,5e-05,0.4992412176243094,0.3513750015602757,0.7948342561721802,0.98,0.8619865936040682
18,5e-05,0.4711931262367455,0.2978142867796123,0.7970844507217407,0.9200000000000002,0.920267996608332
19,5e-05,0.4978340281996616,0.3178370065870695,0.7602969408035278,0.9600000000000002,0.8956018385759938
20,5e-05,0.4619547313497972,0.2774042129361381,0.8093865513801575,0.98,0.9061611567510972
21,5e-05,0.4492606793263162,0.2836967130812506,0.799266517162323,0.9400000000000002,0.9241573112901952
22,5e-05,0.4681765725908353,0.2477373808311919,0.8137180209159851,0.9400000000000002,0.9182753627302348
23,5e-05,0.4726333146871522,0.2388655400912588,0.8062249422073364,0.9400000000000002,0.9234472894366846
24,5e-05,0.4515130903369697,0.3988281641310702,0.7267218828201294,0.98,0.852658367469185
25,5e-05,0.463197224361952,0.2553357348418406,0.8111088275909424,0.9400000000000002,0.9214070169523536
26,5e-05,0.4441580338071483,0.2412780860516553,0.8240544199943542,0.9400000000000002,0.9092740413237392
27,5e-05,0.456571535777676,0.264882940837803,0.7958894371986389,0.9400000000000002,0.90809101271721
28,5e-05,0.425045110920603,0.2612953817782302,0.8005827069282532,0.9600000000000002,0.9093802095673846
29,5e-05,0.4303372513878253,0.2748525935458019,0.8116567134857178,0.98,0.8989118237784811
30,5e-05,0.4323729265105817,0.2861065140168648,0.7887020707130432,0.9200000000000002,0.9211583770278028
31,5e-05,0.4352166292279266,0.2740251285722479,0.7843231558799744,0.9600000000000002,0.905292075635508
32,5e-05,0.4649763841961705,0.2698545863192218,0.8134655952453613,0.8400000000000001,0.9449468801540502
33,5e-05,0.4358504132706989,0.3191057017926748,0.7989599108695984,0.98,0.8787157774931433
34,5e-05,0.4279396168945372,0.3007050032999056,0.8000393509864807,0.9400000000000002,0.9253831122975384
35,5e-05,0.4460219001585199,0.3395960856772338,0.7595645785331726,0.98,0.8608048974109277
36,5e-05,0.4411530302938565,0.2470557636697776,0.815074622631073,0.9200000000000002,0.9277813405353174
37,5e-05,0.4365662010603173,0.2394445148917535,0.8228099346160889,0.9600000000000002,0.9113329289748352
38,5e-05,0.4357340414394704,0.2836346827292194,0.8073320388793945,0.8800000000000001,0.9339407207352296
39,5e-05,0.4364696803481079,0.3404766213304053,0.7902584075927734,0.98,0.8748371800494075
40,5e-05,0.4038221073705096,0.2432909718287798,0.8449661135673523,0.9600000000000002,0.9063961056453196
41,5e-05,0.4201461166836495,0.2327975145211288,0.8380271792411804,0.9600000000000002,0.9285675996070732
42,5e-05,0.4148625414962916,0.32188110089434,0.7512200474739075,0.9600000000000002,0.9019546697516864
43,5e-05,0.4255026849203331,0.2370645178792377,0.819990336894989,0.9200000000000002,0.9390911357240692
44,5e-05,0.3967545142238454,0.2606402591336518,0.8102428913116455,0.9600000000000002,0.9139495571463412
45,5e-05,0.4136380920576494,0.2559885380323976,0.824440598487854,0.9600000000000002,0.9187481570695248
46,5e-05,0.4195504484250564,0.2550017226409788,0.8227812051773071,0.98,0.904343532475066
47,5e-05,0.3935894963815231,0.2774280673475005,0.8113672137260437,0.9600000000000002,0.8882616311481947
48,5e-05,0.4026181605435157,0.5880426593260685,0.6693669557571411,0.98,0.7906229573282061
49,5e-05,0.3900262810463129,0.2575704126696412,0.8245938420295715,0.9400000000000002,0.9294142614191206
50,5e-05,0.4010028852972873,0.2268924863116505,0.8171989917755127,0.9400000000000002,0.9364066317110912
51,5e-05,0.378052590198295,0.298982785277379,0.8099913597106934,0.98,0.8986857962608619
52,5e-05,0.3977461093386938,0.2520330889771382,0.8151628971099854,0.9600000000000002,0.900988303148377
53,5e-05,0.3845870709696481,0.2669127429738485,0.8073526620864868,0.9000000000000001,0.9365411282220024
54,5e-05,0.3793780943451001,0.2043472755467519,0.8424562811851501,0.9400000000000002,0.9325795349413823
55,5e-05,0.3733300520468128,0.2560316503901655,0.839747965335846,0.9000000000000001,0.9469431443758736
56,5e-05,0.3820879849814629,0.2186821443028748,0.8397268652915955,0.98,0.9244895263617988
57,5e-05,0.3993496280307917,0.2450960086425766,0.7942896485328674,0.9600000000000002,0.908132472014974
58,5e-05,0.3875246422235356,0.2797633377534415,0.7910676598548889,0.9600000000000002,0.904884299207523
59,4.9999999999999996e-05,0.392540626401125,0.25156270163521793,0.7912979125976562,0.9000000000000001,0.9260922072547785
